Date,Tencent,CKLife,Waison,Cowell,quantity,asset,trade_value,portfolio_value
2018-03-08,443.0,0.59,4.08,2.51,,,,103474.67
2018-03-09,447.0,0.6,4.1,2.61,,,,104537.34
2018-03-12,460.0,0.6,4.08,2.55,,,,106019.34
2018-03-13,462.8,0.6,4.11,2.54,,,,106392.34
2018-03-14,463.6,0.59,4.07,2.47,,,,105899.67
2018-03-15,468.6,0.6,4.04,2.49,,,,106943.34
2018-03-16,465.2,0.59,3.97,2.44,,,,105917.67
2018-03-19,461.8,0.58,4.0,2.4,-6266.0,CKLife,-3634.28,105050.0
2018-03-20,466.6,0.58,3.96,2.46,,,,105614.0
2018-03-21,462.6,0.58,3.97,2.37,,,,105077.0
2018-03-22,439.4,0.57,4.06,2.4,,,,102041.99
2018-03-23,420.0,0.56,3.93,2.2,,,,98948.98
2018-03-26,426.6,0.57,4.0,2.16,,,,100223.99
2018-03-27,432.2,0.58,4.15,2.19,,,,101555.0
2018-03-28,412.2,0.58,4.1,2.1,,,,99008.0
2018-03-29,409.6,0.57,4.0,2.12,,,,98151.99
2018-04-03,409.4,0.57,4.14,,,,,
2018-04-04,397.6,0.58,4.18,,,,,
2018-04-06,405.8,0.58,4.16,1.98,,,,98234.0
2018-04-09,410.0,0.58,4.16,2.06,,,,98802.0
2018-04-10,417.2,0.56,4.18,2.11,,,,98915.98
2018-04-11,419.6,0.56,4.18,2.05,,,,99155.98
2018-04-12,413.2,0.57,4.2,2.04,,,,98819.99
2018-04-13,408.0,0.56,4.2,2.03,,,,97777.98
2018-04-16,403.0,0.58,4.2,1.97,,,,97950.0
2018-04-17,397.2,0.57,4.18,1.9,-22318.0,CKLife,-12721.26,96757.98999999999
2018-04-18,400.0,0.58,4.18,1.8,,,,97200.82
2018-04-19,405.8,0.58,4.19,1.86,,,,97959.82
2018-04-20,400.2,0.57,4.21,1.85,,,,97122.98999999999
2018-04-23,394.0,0.56,4.28,1.81,,,,96265.16
2018-04-24,396.6,0.57,4.32,1.82,,,,96831.98999999999
2018-04-25,386.8,0.57,4.31,1.8,,,,95624.98999999999
2018-04-26,382.2,0.56,4.33,1.74,,,,94868.16
2018-04-27,388.4,0.57,4.38,1.77,,,,95897.98999999999
2018-04-30,391.0,0.57,4.4,1.82,,,,96279.98999999999
2018-05-02,393.4,0.56,4.43,1.94,,,,96522.16
2018-05-03,385.0,0.56,4.42,1.92,,,,95483.16
2018-05-04,382.8,0.56,4.5,1.87,,,,95299.16
2018-05-07,380.0,0.58,4.55,1.85,,,,95395.82
2018-05-08,390.6,0.57,4.61,1.88,,,,96594.98999999999
2018-05-09,394.6,0.58,4.63,1.9,,,,97307.82
2018-05-10,406.2,0.58,4.65,1.92,,,,98745.82
2018-05-11,408.8,0.58,4.74,1.89,,,,99168.82
2018-05-14,411.8,0.57,4.78,1.94,,,,99441.98999999999
2018-05-15,398.0,0.57,4.8,1.93,,,,97807.98999999999
2018-05-16,396.2,0.59,4.81,1.92,,,,97972.65
2018-05-17,411.0,0.59,4.8,1.91,,,,99725.65
2018-05-18,411.0,0.58,4.46,1.9,,,,99020.82
2018-05-21,408.0,0.58,4.47,1.88,,,,98659.82
2018-05-23,407.0,0.58,4.6,1.84,,,,98702.82
2018-05-24,407.0,0.59,4.64,1.81,,,,98925.65
2018-05-25,404.0,0.59,4.69,1.79,,,,98624.65
2018-05-28,405.2,0.58,4.73,1.86,,,,98697.82
2018-05-29,402.0,0.58,4.72,1.81,,,,98258.82
2018-05-30,395.0,0.56,4.7,1.79,,,,96999.16
2018-05-31,399.2,0.57,4.59,1.8,,,,97532.98999999999
2018-06-01,404.0,0.58,4.57,1.8,,,,98265.82
2018-06-04,415.0,0.58,4.6,1.82,,,,99646.82
2018-06-05,420.0,0.58,4.41,1.87,,,,100001.82
2018-06-06,425.0,0.57,4.62,2.17,,,,100969.98999999999
2018-06-07,429.2,0.57,4.62,2.07,,,,101393.98999999999
2018-06-08,415.0,0.56,4.62,2.12,,,,99543.16
2018-06-11,419.0,0.56,4.69,2.05,,,,100072.16
2018-06-12,417.4,0.56,4.71,2.01,,,,99878.16
2018-06-13,415.2,0.56,4.86,1.97,,,,99807.16
2018-06-14,412.0,0.56,4.75,1.95,,,,99242.16
2018-06-15,410.0,0.56,4.34,1.91,40.0,Tencent,16400.0,98355.15999999999
2018-06-19,396.8,0.55,4.12,1.69,,,,95550.32999999999
2018-06-20,400.2,0.55,4.15,1.77,,,,96203.32999999999
2018-06-21,396.8,0.55,4.36,1.73,,,,95942.32999999999
2018-06-22,397.4,0.55,4.35,1.72,,,,96015.32999999999
2018-06-25,388.8,0.55,4.28,1.73,,,,94542.32999999999
2018-06-26,386.0,0.55,4.24,1.66,,,,93978.32999999999
2018-06-27,377.4,0.53,4.24,1.61,,,,92188.67
2018-06-28,379.0,0.54,4.1,1.65,,,,92453.5
2018-06-29,393.8,0.54,4.26,1.68,,,,95085.5
2018-07-03,390.8,0.53,4.09,1.66,,,,94147.67
2018-07-04,383.0,0.53,4.1,1.61,,,,92874.67
2018-07-05,385.6,0.52,3.99,1.59,,,,92922.84
2018-07-06,386.6,0.52,4.09,1.58,,,,93224.84
2018-07-09,396.0,0.53,4.22,1.63,,,,95150.67
2018-07-10,386.8,0.52,4.22,1.61,,,,93475.84
2018-07-11,379.4,0.51,4.14,1.58,,,,91961.01
2018-07-12,380.0,0.51,4.16,1.66,,,,92151.01
2018-07-13,381.0,0.52,4.19,1.64,,,,92526.84
2018-07-16,381.4,0.52,4.15,1.61,,,,92506.84
2018-07-17,375.8,0.51,4.12,1.6,,,,91371.01
2018-07-18,378.0,0.52,4.15,1.62,,,,91970.84
2018-07-19,375.6,0.52,4.16,1.61,,,,91593.84
2018-07-20,376.6,0.52,4.17,1.6,,,,91760.84
2018-07-23,371.0,0.52,4.19,1.58,,,,90878.84
2018-07-24,375.2,0.52,4.24,1.66,,,,91689.84
2018-07-25,379.8,0.52,4.2,1.7,,,,92397.84
2018-07-26,374.8,0.52,4.23,1.67,,,,91618.84
2018-07-27,373.0,0.52,4.24,1.67,,,,91345.84
2018-07-30,367.2,0.52,4.23,1.69,,,,90418.84
2018-07-31,355.2,0.53,4.2,1.65,,,,88608.67
2018-08-01,355.0,0.52,4.24,1.58,,,,88393.84
2018-08-02,345.0,0.53,4.2,1.59,,,,86928.66999999998
2018-08-03,349.8,0.52,4.24,1.57,,,,87553.84
2018-08-06,353.0,0.52,4.19,1.59,,,,88006.84
2018-08-07,357.0,0.52,4.16,1.59,,,,88601.84
2018-08-08,364.0,0.52,4.08,1.6,,,,89609.84
2018-08-09,372.6,0.52,4.03,1.6,,,,90910.84
2018-08-10,370.0,0.52,3.99,1.58,,,,90418.84
2018-08-13,361.0,0.52,3.85,1.54,,,,88736.84
2018-08-14,348.6,0.52,3.85,1.43,,,,86664.84
2018-08-15,336.0,0.51,3.8,1.33,,,,84307.01
2018-08-16,325.8,0.5,3.79,1.38,,,,82513.18
2018-08-17,337.0,0.5,3.82,1.31,,,,84294.18
2018-08-20,350.8,0.5,3.81,1.31,,,,86487.18
2018-08-21,350.6,0.51,3.87,1.35,,,,86764.01
2018-08-22,359.4,0.51,4.07,1.33,,,,88456.01
2018-08-23,359.0,0.5,4.02,1.31,11100.0,Cowell,14541.0,88114.18
2018-08-24,354.0,0.51,4.0,1.31,,,,87471.01
2018-08-27,361.0,0.51,4.14,1.32,,,,88920.01
2018-08-28,365.4,0.51,4.09,1.32,,,,89549.01
