,tencent,cklife,waison,cowell,quantity,asset,trade_value,portfolio_value
2018-10-18,281.0,0.41,3.66,0.9,16617.0,cowell,14955.3,70432.3
2018-10-19,282.0,0.41,3.58,0.93,,,,71068.81
2018-10-22,291.2,0.42,3.85,0.95,,,,73494.45
2018-10-23,277.8,0.41,3.76,0.96,,,,70987.72
2018-10-24,275.8,0.41,3.81,0.92,,,,69957.04000000001
2018-10-25,269.0,0.405,3.8,0.88,,,,67927.11
2018-10-26,260.0,0.4,3.65,0.89,,,,66224.43000000001
2018-10-29,260.0,0.405,3.8,0.88,,,,66235.11
2018-10-30,252.2,0.395,3.7,0.85,,,,64066.5
2018-10-31,267.0,0.395,3.85,0.9,,,,67879.75
2018-11-01,277.8,0.4,3.85,0.94,,,,70651.68000000001
2018-11-02,303.6,0.405,4.0,0.95,,,,75865.1
2018-11-05,292.4,0.4,4.06,0.94,,,,73606.48
2018-11-06,292.0,0.395,4.08,0.95,,,,73690.6
2018-11-07,293.4,0.4,4.15,0.96,,,,74236.81999999999
2018-11-08,293.6,0.4,4.12,1.01,,,,75125.27
2018-11-09,279.2,0.405,4.06,1.0,,,,72218.75
2018-11-12,270.6,0.4,4.13,1.03,,,,71163.61
2018-11-13,274.4,0.395,4.1,1.0,,,,71282.65000000001
2018-11-14,272.2,0.39,4.13,1.0,,,,70862.2
2018-11-15,288.0,0.395,4.2,1.0,,,,73939.45
2018-11-16,290.4,0.405,4.25,0.99,,,,74338.18
2018-11-19,291.2,0.4,4.25,0.99,,,,74451.73
2018-11-20,281.6,0.395,4.21,0.96,,,,72041.57
2018-11-21,289.6,0.39,4.2,0.98,,,,73851.06000000001
2018-11-22,295.0,0.385,4.2,0.97,,,,74653.24
2018-11-23,291.2,0.385,4.24,0.96,,,,73802.67
2018-11-26,298.0,0.38,4.18,0.99,,,,75512.73
2018-11-27,303.8,0.375,4.24,0.97,,,,76273.94
2018-11-28,314.8,0.36,4.37,0.97,,,,78361.39
2018-11-29,312.0,0.375,4.4,0.98,,,,78151.71
2018-11-30,312.0,0.37,4.13,0.95,,,,77316.35
